Name,English Name,Operator,Output (MW),Latitude,Longitude
Zonnepark Wieldrechtse Zeedijk,,,7.2,51.7676034,4.6497751
Zonnepark Drakenrijk,,,7,51.2694903,6.0818321
Zonnepark Oudehaske I,,,7,,
Zonnepark Rengersweg,,,7,52.1719688,6.3942471
Zonnepark Westdorp,,,7,52.8946203,6.7590360
Zonnepark de Griene Greide,,Enerzjy Koöperaasje Garyp,7,53.1722312,5.9932523
Zonnepark Leemdijk,,,6.9,,
Zonnepark Runderweg,,,6.9,52.5239466,5.5597799
Zonnepark Jumaheerd,,,6.8,53.2828505,6.1639232
Zonnepark Drouwenerzon,,,6.68,52.9670728,6.8913485
Zonnepark Bovenveld,,,6.6,,
Zonnepark Coevorden,,,6.5,52.6570709,6.6831954
Zonnepark Energiestreek Winschoten,,,6.5,53.1385662,7.0542106
Zonnepark Markelo,,,6.5,52.2546463,6.5315563
Zonnepark Zuidgeest,,,6.3,51.4631874,4.3182759
Zonnepark De Zonneweihoek,,,6.2,51.5195863,4.4236188
Drijvend Zonnepark Amer,,GroenLeven,6.1,51.7093959,4.8381430
Zonnepark Eerbeek,,,6.1,,
Zonnepark Ameland,,BV Zonnepark Ameland,6,53.4501278,5.6745095
Zonnepark Diepenhoek,,,6,51.3346846,5.7209189
Zonnepark Lage Woerd,,,6,51.8591979,5.7371865
Zonnepark Nieuweweg,,,6,51.5976945,5.8406090
zonneweide Tripkouw,,,5.9,52.7227001,5.0792473
Zonnepark LangstraatZon Waalwijk,,,5.86,51.7091154,5.0759411
Zonneveld Best,,,5.76,51.4930217,5.4259142
Zonnepark Eemshaven,,Vattenfall,5.7,,
Zonnepark TT Assen,,,5.64,,
Solar Campus Purmerend,,Ecorus,5.6,52.5237124,5.0046603
Zonnepark Groot-Bronswijk,,,5.6,53.2556927,6.9437287
Zonnepark Flierbelten,,,5.5,,
Zonnepark Leveroysedijk,,,5.5,51.2466453,5.7622672
Zonnepark Wachtum,,,5.1,52.7222137,6.7292822
Zonnepark de Grift,,,5.04,51.8910614,5.8508057
Zonnepark Burgervlotbrug,,,5,52.7661468,4.6919736
Zonnepark Centrale Burgum,,,5,53.2102577,6.0326600
Zonnepark De Baendj,,,5,51.2731758,6.0929993
Zonnepark E-circuit Emmen,,,5,52.8166348,6.9752731
Zonnepark Fort de Pol,,,5,52.1634914,6.1927070
Zonnepark Vegelinsoord,,,5,52.9803063,5.8691248
Zonnepark Wolvega,,,5,52.8792463,5.9842638
Zonnepark Wolvega l,,,5,52.8831650,5.9798492
Zonneweide Hoeve de Ruif,,,5,51.1273826,5.8698693
Zonnepark De Vlaas,,,4.9,51.4486857,5.7914026
Zonnepark Blitsaerd,,GroenLeven,4.8,,
Zonnepark Amstelwijck,,"gemeente Dordrecht, afval -en energiebedrijf HVC en de Energie Coöperatie Dordrecht (ECD)",4.6,51.7705210,4.6522986
Zonnepark Daarle,,,4.59,52.4459190,6.5340989
Zonnepark Lungendonk,,Zonneparken Someren,4.5,51.4522393,5.6703985
