Name,English Name,Operator,Output (MW)
Zonnepark Aa Stroom,,,2.2
Zonnepark Donkerbroek,,GroenLeven,2.2
Zonnepark Heeten,,,2.2
Zonnepark De Rietstap,,,2.18
Solarpark Galecop,,,2.1
Zonnepark Oosterwolde,,GroenLeven,2.1
Zonnepark Heusden,,,2.02
Zonnecentrale Meikade,,,2
Zonnepark,,Evides,2
Zonnepark Beekweg,,,2
Zonnepark Entersestraat,,,2
Zonnepark Kloosterman,,,2
Zonnepark Leeuwenhorster Hoek,,,2
Zonnepark Vierverlaten,,Grunneger Power,2
Solarpark Azewijn,,Pfixx Solar,1.8
ZonneWIJde,,Breda DuurSaam,1.78
Zonnepark Deltahoek,,,1.7
Zonnepark Emst,,,1.7
Zonnepark Ketelsteeg,,Energie van Hollandsche bodem,1.7
Zonnepark Landpark Assisië,,,1.7
Zonnepark Bocholtz,,Enovos,1.66
Polycultuur Zonnepark de Mikkelhorst,,,1.6
Zonnepark Noorderdiep,,,1.6
Zonnepark Schinveld,,,1.6
Zonnepark Vooraard,,,1.6
Zonneweide Glimmen,,Energie Cooperatie Zonneweide Glimmen UA,1.6
Zonnepark Doorsneeweg,,,1.5
Zonnepark Hekweg,,,1.5
Zonnewal A32 Heerenveen,,,1.5
Zonnepark Altweerterheide,,,1.4
Zonnepark Diemen,,,1.36
Zonnepark 't Oor,,Energie van Hollandsche bodem,1.3
Zonnepark Nieuwendijk,,,1.3
Zonnepark Bergerden,,Lingewaard Energie,1.25
Zonnepark Dreefstraat,,,1.25
Zonnepark Boterberg,,,1.1
Zonnepark,,Haakman Flowerbulbs,1
Zonnepark Halo,,,1
Zonnepark Vlieland,,,1
Zonnepark WEN,,Wijnjewoude Energie Neutraal,1
Zonnepark De Lindenbergh,,,0.959
Zonneweide Boerhof,,,0.9
Zonnepark RWZI Oldenzaal,,,0.841
Zonnepark Parkway6,,,0.8
Zonnepark Symbizon,,,0.7
Zonnepark Zeijen,,Vrij Op Naam Zonnepark 1 B.V,0.596
Zonnepark A4 Rijsenhout,,,0.5
Zonnepark Meijewetering,,,0.5
zonnepark Hee,,energiecoöperatie Terschelling Energie,0.5
Zonnepark 't Zandt,,,0.4
Eco-zonnepark 't Oor,,Energie van Hollandsche bodem,0.275
Zonnepark Maassluis,,,0.25
